市区町村コード,市区町村,寄付額,控除額,寄付－控除額
08204,茨城県 古河市,407432,120046,287386
08205,茨城県 石岡市,164941,56532,108409
08207,茨城県 結城市,167274,38519,128755
08208,茨城県 龍ケ崎市,179193,89728,89465
08210,茨城県 下妻市,199610,29554,170056
08211,茨城県 常総市,224434,38480,185954
08212,茨城県 常陸太田市,26683,29255,-2572
08214,茨城県 高萩市,18922,14414,4508
08215,茨城県 北茨城市,131677,22228,109449
08216,茨城県 笠間市,91000,51296,39704
08217,茨城県 取手市,227276,162111,65165
08219,茨城県 牛久市,63087,164026,-100939
08220,茨城県 つくば市,192706,824253,-631547
08221,茨城県 ひたちなか市,8100,233812,-225712
08222,茨城県 鹿嶋市,253673,81466,172207
08223,茨城県 潮来市,150760,17558,133202
08224,茨城県 守谷市,2548060,243135,2304925
08225,茨城県 常陸大宮市,94821,15960,78861
08226,茨城県 那珂市,46164,41241,4923
08227,茨城県 筑西市,131179,69705,61474
08228,茨城県 坂東市,25883,26931,-1048
08229,茨城県 稲敷市,596003,18086,577917
08230,茨城県 かすみがうら市,30895,38504,-7609
08231,茨城県 桜川市,19345,23104,-3759
08232,茨城県 神栖市,141174,113013,28161
08233,茨城県 行方市,191701,12243,179458
08234,茨城県 鉾田市,135185,18700,116485
08235,茨城県 つくばみらい市,439502,93358,346144
08236,茨城県 小美玉市,169802,25651,144151
08302,茨城県 東茨城郡 茨城町,92536,17682,74854
08309,茨城県 東茨城郡 大洗町,132808,10020,122788
08310,茨城県 東茨城郡 城里町,3992,7165,-3173
08341,茨城県 那珂郡 東海村,73336,60801,12535
08364,茨城県 久慈郡 大子町,42718,3463,39255
08442,茨城県 稲敷郡 美浦村,45959,14421,31538
08443,茨城県 稲敷郡 阿見町,41309,50640,-9331
08447,茨城県 稲敷郡 河内町,56551,3447,53104
08521,茨城県 結城郡 八千代町,174595,9913,164682
08542,茨城県 猿島郡 五霞町,45189,5472,39717
08546,茨城県 猿島郡 境町,3743031,15474,3727557
08564,茨城県 北相馬郡 利根町,20319,9609,10710
09201,栃木県 宇都宮市,164714,1040178,-875464
09202,栃木県 足利市,28091,136519,-108428
09203,栃木県 栃木市,507752,130888,376864
09204,栃木県 佐野市,57273,97288,-40015
09205,栃木県 鹿沼市,87884,65734,22150
09206,栃木県 日光市,330340,35491,294849
09208,栃木県 小山市,705643,220309,485334
09209,栃木県 真岡市,18258,55751,-37493
09210,栃木県 大田原市,103873,56661,47212
09211,栃木県 矢板市,118479,20922,97557
09213,栃木県 那須塩原市,348592,112523,236069
09214,栃木県 さくら市,40629,42871,-2242
09215,栃木県 那須烏山市,12309,12482,-173
09216,栃木県 下野市,8038,155699,-147661
09301,栃木県 河内郡 上三川町,12086,32843,-20757
09342,栃木県 芳賀郡 益子町,41852,8274,33578
09343,栃木県 芳賀郡 茂木町,33446,4142,29304
09344,栃木県 芳賀郡 市貝町,3992,8769,-4777
09345,栃木県 芳賀郡 芳賀町,1695,9128,-7433
09361,栃木県 下都賀郡 壬生町,71438,43259,28179
09364,栃木県 下都賀郡 野木町,26129,23580,2549
09384,栃木県 塩谷郡 塩谷町,8394,4369,4025
09386,栃木県 塩谷郡 高根沢町,5514,46968,-41454
09407,栃木県 那須郡 那須町,307585,10766,296819
09411,栃木県 那須郡 那珂川町,40855,4152,36703
10201,群馬県 前橋市,221172,621982,-400810
10202,群馬県 高崎市,226477,612647,-386170
10203,群馬県 桐生市,53246,91055,-37809
10204,群馬県 伊勢崎市,36760,227803,-191043
10205,群馬県 太田市,155951,271363,-115412
10206,群馬県 沼田市,78437,26755,51682
