移動前,移動後,性別,人数
富山県,福島県,男,13
福島県,富山県,女,11
福島県,石川県,総数,14
福島県,石川県,男,12
福島県,石川県,女,2
福井県,福島県,総数,1
福島県,福井県,男,1
福井県,福島県,女,2
福島県,山梨県,総数,77
福島県,山梨県,男,53
福島県,山梨県,女,24
福島県,長野県,総数,25
福島県,長野県,男,9
福島県,長野県,女,16
福島県,岐阜県,総数,27
福島県,岐阜県,男,24
福島県,岐阜県,女,3
福島県,静岡県,総数,74
福島県,静岡県,男,27
福島県,静岡県,女,47
福島県,愛知県,総数,134
福島県,愛知県,男,22
福島県,愛知県,女,112
福島県,三重県,総数,21
福島県,三重県,男,14
福島県,三重県,女,7
福島県,滋賀県,総数,11
福島県,滋賀県,男,16
滋賀県,福島県,女,5
福島県,京都府,総数,79
福島県,京都府,男,36
福島県,京都府,女,43
福島県,大阪府,総数,145
福島県,大阪府,男,77
福島県,大阪府,女,68
福島県,兵庫県,総数,49
福島県,兵庫県,男,29
福島県,兵庫県,女,20
福島県,奈良県,総数,15
福島県,奈良県,男,9
福島県,奈良県,女,6
福島県,和歌山県,総数,3
和歌山県,福島県,男,3
福島県,和歌山県,女,6
福島県,鳥取県,総数,5
鳥取県,福島県,男,2
福島県,鳥取県,女,7
島根県,福島県,総数,6
島根県,福島県,男,7
福島県,島根県,女,1
岡山県,福島県,総数,8
岡山県,福島県,男,5
岡山県,福島県,女,3
福島県,広島県,総数,42
福島県,広島県,男,36
福島県,広島県,女,6
福島県,山口県,総数,6
福島県,山口県,男,2
福島県,山口県,女,4
福島県,徳島県,総数,8
福島県,徳島県,男,13
徳島県,福島県,女,5
福島県,香川県,総数,8
香川県,福島県,男,3
福島県,香川県,女,11
愛媛県,福島県,総数,14
愛媛県,福島県,男,3
愛媛県,福島県,女,11
福島県,高知県,総数,1
福島県,高知県,男,9
高知県,福島県,女,8
福岡県,福島県,総数,14
福岡県,福島県,男,20
福島県,福岡県,女,6
福島県,佐賀県,総数,16
福島県,佐賀県,男,12
福島県,佐賀県,女,4
長崎県,福島県,総数,3
長崎県,福島県,男,5
福島県,長崎県,女,2
福島県,熊本県,総数,22
福島県,熊本県,男,5
福島県,熊本県,女,17
福島県,大分県,総数,14
福島県,大分県,男,9
福島県,大分県,女,5
福島県,宮崎県,総数,31
福島県,宮崎県,男,28
福島県,宮崎県,女,3
福島県,鹿児島県,総数,6
福島県,鹿児島県,男,1
福島県,鹿児島県,女,5
沖縄県,福島県,総数,13
沖縄県,福島県,男,6
沖縄県,福島県,女,7
茨城県,栃木県,総数,333
茨城県,栃木県,男,191
茨城県,栃木県,女,142
茨城県,群馬県,総数,151
茨城県,群馬県,男,68
茨城県,群馬県,女,83
茨城県,埼玉県,総数,378
茨城県,埼玉県,男,139
茨城県,埼玉県,女,239
千葉県,茨城県,総数,1160
千葉県,茨城県,男,966
千葉県,茨城県,女,194
茨城県,東京都,総数,1235
茨城県,東京都,男,381
茨城県,東京都,女,854
茨城県,神奈川県,総数,560
茨城県,神奈川県,男,295
茨城県,神奈川県,女,265
新潟県,茨城県,総数,67
新潟県,茨城県,男,34
新潟県,茨城県,女,33
富山県,茨城県,総数,36
富山県,茨城県,男,6
富山県,茨城県,女,30
茨城県,石川県,総数,12
茨城県,石川県,男,18
石川県,茨城県,女,6
福井県,茨城県,総数,74
福井県,茨城県,男,52
福井県,茨城県,女,22
茨城県,山梨県,総数,14
茨城県,山梨県,男,27
山梨県,茨城県,女,13
茨城県,長野県,総数,55
茨城県,長野県,男,36
茨城県,長野県,女,19
岐阜県,茨城県,総数,43
茨城県,岐阜県,男,3
岐阜県,茨城県,女,46
静岡県,茨城県,総数,149
静岡県,茨城県,男,136
静岡県,茨城県,女,13
愛知県,茨城県,総数,173
愛知県,茨城県,男,164
愛知県,茨城県,女,9
三重県,茨城県,総数,93
三重県,茨城県,男,43
三重県,茨城県,女,50
茨城県,滋賀県,総数,49
茨城県,滋賀県,男,31
茨城県,滋賀県,女,18
京都府,茨城県,総数,105
京都府,茨城県,男,94
京都府,茨城県,女,11
大阪府,茨城県,総数,28
茨城県,大阪府,男,26
大阪府,茨城県,女,54
兵庫県,茨城県,総数,35
兵庫県,茨城県,男,31
兵庫県,茨城県,女,4
奈良県,茨城県,総数,24
奈良県,茨城県,男,18
奈良県,茨城県,女,6
茨城県,和歌山県,総数,5
茨城県,和歌山県,男,0
茨城県,和歌山県,女,5
鳥取県,茨城県,総数,29
鳥取県,茨城県,男,16
鳥取県,茨城県,女,13
島根県,茨城県,総数,39
島根県,茨城県,男,20
島根県,茨城県,女,19
茨城県,岡山県,総数,14
岡山県,茨城県,男,16
茨城県,岡山県,女,30
広島県,茨城県,総数,164
広島県,茨城県,男,105
広島県,茨城県,女,59
山口県,茨城県,総数,63
山口県,茨城県,男,35
山口県,茨城県,女,28
徳島県,茨城県,総数,38
徳島県,茨城県,男,20
徳島県,茨城県,女,18
香川県,茨城県,総数,39
香川県,茨城県,男,29
香川県,茨城県,女,10
茨城県,愛媛県,総数,68
茨城県,愛媛県,男,38
茨城県,愛媛県,女,30
茨城県,高知県,総数,18
茨城県,高知県,男,1
茨城県,高知県,女,17
福岡県,茨城県,総数,161
福岡県,茨城県,男,71
福岡県,茨城県,女,90
佐賀県,茨城県,総数,29
佐賀県,茨城県,男,17
佐賀県,茨城県,女,12
長崎県,茨城県,総数,46
長崎県,茨城県,男,22
長崎県,茨城県,女,24
茨城県,熊本県,総数,81
茨城県,熊本県,男,40
茨城県,熊本県,女,41
